,index,negative,positive,total,Price Change_down,Price Change_up
0,0,0.09202453987730061,0.34355828220858897,163.0,0,1
1,1,0.4143646408839779,0.287292817679558,181.0,0,1
2,2,0.125,0.615,200.0,1,0
3,3,0.115,0.245,200.0,1,0
4,4,0.1658291457286432,0.2613065326633166,199.0,0,1
5,0,0.05714285714285714,0.37142857142857144,35.0,1,0
6,1,0.1320754716981132,0.32075471698113206,53.0,0,1
7,2,0.125,0.140625,64.0,1,0
8,3,0.12244897959183673,0.3673469387755102,49.0,0,1
9,4,0.17647058823529413,0.3235294117647059,34.0,0,1
10,0,0.0,0.5555555555555556,9.0,0,1
11,1,0.0,0.9642857142857143,28.0,0,1
12,2,0.0,0.625,8.0,0,1
13,3,0.5681818181818182,0.11363636363636363,44.0,0,1
14,4,0.4,0.2,20.0,0,1
15,0,0.035,0.45,200.0,0,1
16,1,0.08,0.445,200.0,0,1
17,2,0.08227848101265822,0.3670886075949367,158.0,1,0
18,3,0.03496503496503497,0.26573426573426573,143.0,0,1
19,4,0.08021390374331551,0.5080213903743316,187.0,0,1
20,0,0.02608695652173913,0.0,115.0,0,1
21,1,0.0,0.4444444444444444,9.0,0,1
22,2,0.30434782608695654,0.043478260869565216,23.0,0,1
23,3,0.125,0.25,8.0,0,1
24,4,0.5714285714285714,0.21428571428571427,14.0,1,0
25,0,0.23076923076923078,0.46153846153846156,13.0,1,0
26,1,0.6666666666666666,0.3333333333333333,6.0,0,1
27,2,0.0,0.9090909090909091,66.0,1,0
28,3,0.0,0.9230769230769231,26.0,0,1
29,4,0.125,0.75,8.0,0,1
30,0,0.0,0.5454545454545454,22.0,1,0
31,1,0.02702702702702703,0.32432432432432434,37.0,1,0
32,2,0.07692307692307693,0.15384615384615385,26.0,0,1
33,3,0.6153846153846154,0.038461538461538464,26.0,1,0
34,4,0.18181818181818182,0.36363636363636365,11.0,0,1
35,0,0.09,0.43,200.0,1,0
36,1,0.09259259259259259,0.37962962962962965,108.0,0,1
37,2,0.055,0.205,200.0,1,0
38,3,0.078125,0.3984375,128.0,0,1
39,4,0.03488372093023256,0.3372093023255814,172.0,0,1
40,0,0.065,0.3,200.0,1,0
41,1,0.05202312138728324,0.3352601156069364,173.0,1,0
42,2,0.12,0.38333333333333336,300.0,0,1
43,3,0.06920415224913495,0.3217993079584775,289.0,0,1
44,4,0.04265402843601896,0.35071090047393366,211.0,0,1
45,0,0.0,1.0,1.0,0,0
46,0,0.0,0.2857142857142857,7.0,1,0
47,1,0.0,0.6111111111111112,18.0,0,1
48,2,0.0,0.8571428571428571,7.0,0,1
49,3,0.0,0.037037037037037035,27.0,1,0
50,4,0.16666666666666666,0.16666666666666666,6.0,1,0
51,0,0.0,0.5,2.0,0,1
52,1,0.0,0.0,2.0,0,1
53,2,0.0,0.0,4.0,1,0
54,3,1.0,0.0,1.0,1,0
55,4,0.0,0.6,5.0,1,0
56,0,0.3333333333333333,0.0,3.0,1,0
57,1,0.0,0.3333333333333333,3.0,0,1
58,2,0.0,0.0,0.0,1,0
59,3,1.0,0.0,1.0,0,1
60,4,1.0,0.0,1.0,0,1
